geometry,address
POINT (-89.8070421 30.064777),"New Orleans Police Department, Chef Menteur Highway, 70129, Chef Menteur Highway, New Orleans, LA, United States"
POINT (-90.11377566906735 29.96159555),"3201, South Carrollton Avenue, 70118, South Carrollton Avenue, New Orleans, Louisiana, United States"
POINT (-89.9849425 30.01762),"Lancelot Drive, 70127, New Orleans, Louisiana, United States"
POINT (-89.93139284344248 30.030468050000003),"13085, Chef Menteur Highway, 70129, Chef Menteur Highway, New Orleans, Louisiana, United States"
POINT (-89.9110198 30.0369517),"14401, Chef Menteur Highway, 70129, Chef Menteur Highway, New Orleans, Louisiana, United States"
POINT (-90.0756036 29.9978081),"1530, Caton Street, 70122, Caton Street, New Orleans, LA, United States"
POINT (-90.07257114061504 29.95638705),"Saenger Theatre, 1111, Canal Street, 70112-2625, Canal Street, New Orleans, LA, United States"
POINT (-90.08549 29.9383375),"2222, Simon Bolivar Avenue, 70113, Simon Bolivar Avenue, New Orleans, Louisiana, United States"
POINT (-90.01060528799462 29.972988049999998),"2239, Lamanche Street, 70117, Lamanche Street, New Orleans, Louisiana, United States"
POINT (-90.0784417 29.9461665),"New Orleans, Pontchartrain Expy (HOV), 70113, Pontchartrain Expy (HOV), New Orleans, LA, United States"
POINT (-90.0784417 29.9461665),"New Orleans, Pontchartrain Expy (HOV), 70113, Pontchartrain Expy (HOV), New Orleans, LA, United States"
POINT (-90.0567388 29.9655699),"Elysian Fields Avenue, 70117, New Orleans, Louisiana, United States"
POINT (-90.0784417 29.9461665),"New Orleans, Pontchartrain Expy (HOV), 70113, Pontchartrain Expy (HOV), New Orleans, LA, United States"
POINT (-90.0784417 29.9461665),"New Orleans, Pontchartrain Expy (HOV), 70113, Pontchartrain Expy (HOV), New Orleans, LA, United States"
POINT (-90.0784417 29.9461665),"New Orleans, Pontchartrain Expy (HOV), 70113, Pontchartrain Expy (HOV), New Orleans, LA, United States"
POINT (-90.10443625871251 29.9375381),"Oschner Baptist Medical Center, 2700, Napoleon Avenue, 70115, Napoleon Avenue, New Orleans, Louisiana, United States"
POINT EMPTY,
POINT (-90.04301868367386 29.9194657),"12, Westbank Expressway, 70053, Westbank Expressway, Gretna, Louisiana, United States"
POINT (-90.1556406 30.008017),"3054, North Causeway Boulevard, 70002, North Causeway Boulevard, Metairie, Louisiana, United States"
POINT (-90.05760780818943 29.91810145),"100, 5th Street, 70053, 5th Street, Gretna, LA, United States"
POINT EMPTY,
POINT (-69.94362673805308 47.36304534197363),"75, Chemin de la Rivière-Nord, Chemin de la Rivière-Nord, Saint-Gabriel-Lalemant, Québec, Canada"
POINT (55.7221528 -21.3710093),"30, Rue Quai Gabriel, 97442, Rue Quai Gabriel, Saint-Philippe, La Réunion, France"
POINT EMPTY,
POINT EMPTY,
POINT (-91.1092295 30.4829613),"Lanier Drive, 70812, Baton Rouge, Louisiana, United States"
POINT EMPTY,
POINT (-90.1008332 29.9498379),"3943, Louisiana Avenue Parkway, 70125, Louisiana Avenue Parkway, New Orleans, LA, United States"
POINT (-90.07663871975899 29.9290905),"1024, Jackson Avenue, 70130, Jackson Avenue, New Orleans, Louisiana, United States"
POINT (-90.0744417 29.9309973),"1936, Magazine Street, 70130, Magazine Street, New Orleans, Louisiana, United States"
POINT (-90.0744417 29.9309973),"1936, Magazine Street, 70130, Magazine Street, New Orleans, Louisiana, United States"
POINT (-90.1095787044415 29.92010475),"5018, Magazine Street, 70115, Magazine Street, New Orleans, LA, United States"
POINT (-90.0748678 29.9306953),"2014, Magazine Street, 70130, Magazine Street, New Orleans, Louisiana, United States"
POINT (-90.0743915 29.930574),"1020, Saint Andrew Street, 70130, Saint Andrew Street, New Orleans, Louisiana, United States"
POINT (-90.01554647582418 29.919607749999997),"CARR Drugs, 3500, Holiday Drive, 70114, Holiday Drive, New Orleans, LA, United States"
POINT (-90.02684701776238 29.92677605),"3221, General De Gaulle Drive, 70114, General De Gaulle Drive, New Orleans, Louisiana, United States"
POINT EMPTY,
POINT (-90.0754118 29.9303375),"2042, Magazine Street, 70130, Magazine Street, New Orleans, Louisiana, United States"
POINT (-90.0748086 29.9307343),"2010, Magazine Street, 70130, Magazine Street, New Orleans, Louisiana, United States"
POINT (-90.0933578 29.9485597),"2300, South Galvez Street, 70125, South Galvez Street, New Orleans, Louisiana, United States"
POINT (-90.0784417 29.9461665),"New Orleans, Pontchartrain Expy (HOV), 70113, Pontchartrain Expy (HOV), New Orleans, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-68.8443125734694 -32.88531333367347),"471, Avenida Las Heras, 5501, Avenida Las Heras, Mendoza, Argentina"
POINT EMPTY,
POINT EMPTY,
POINT (-92.133181 29.9735391),"Abbeville City Hall, Charity Street, 70510, Charity Street, Abbeville, LA, United States"
POINT (-92.133181 29.9735391),"Abbeville City Hall, Charity Street, 70510, Charity Street, Abbeville, LA, United States"
POINT EMPTY,
POINT (-91.81054086621691 29.98844235),"Iberia Comprehensive Communtiy Health Center, 806, Jefferson Terrace Boulevard, 70560, Jefferson Terrace Boulevard, New Iberia, LA, United States"
POINT (-91.81054086621691 29.98844235),"Iberia Comprehensive Communtiy Health Center, 806, Jefferson Terrace Boulevard, 70560, Jefferson Terrace Boulevard, New Iberia, LA, United States"
POINT (-91.81054086621691 29.98844235),"Iberia Comprehensive Communtiy Health Center, 806, Jefferson Terrace Boulevard, 70560, Jefferson Terrace Boulevard, New Iberia, LA, United States"
POINT EMPTY,
POINT (-91.994819 30.211483),"Surrey Street, 70508, Lafayette, Louisiana, United States"
POINT (-91.996454 30.2606521),"Louisiana Avenue, 70501, Lafayette, Louisiana, United States"
POINT (-93.193248 30.261351),"North Prater Street, 70601, Lake Charles, Louisiana, United States"
POINT (-93.2197408 30.2186439),"Debakey Dr / Ryan St, Doctor Michael DeBakey Drive, 70601, Doctor Michael DeBakey Drive, Lake Charles, Louisiana, United States"
POINT EMPTY,
POINT (-92.019045 30.257081),"Patterson Street, 70501, Lafayette, Louisiana, United States"
POINT (-93.208458 30.242092),"Opelousas Street, 70601, Lake Charles, Louisiana, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-91.5435328 29.8283085),"Baldwin Police Department, State Route 182, 70514, State Route 182, Baldwin, LA, United States"
POINT (-92.02478 30.249585),"Martin Luther King Jr Drive, 70501, Lafayette, Louisiana, United States"
POINT (-82.03623388095687 42.802138785208165),"2935, Oakdale Road, Oakdale Road, Enniskillen, Ontario, Canada"
POINT (-93.795638 32.402129),"West Bert Kouns Industrial Loop, 71118, Shreveport, Louisiana, United States"
POINT EMPTY,
POINT (-93.795638 32.402129),"West Bert Kouns Industrial Loop, 71118, Shreveport, Louisiana, United States"
POINT (-93.7085113 32.5370956),"Airline Drive Church of Christ, Airline Drive, 71111, Airline Drive, Bossier City, LA, United States"
POINT EMPTY,
POINT (-93.705182 32.0379408),"Mansfield Municipal Building, Polk Street, 71052, Polk Street, South Mansfield, LA, United States"
POINT (-93.705182 32.0379408),"Mansfield Municipal Building, Polk Street, 71052, Polk Street, South Mansfield, LA, United States"
POINT (-93.6993148749448 32.527645500000006),"Shreveport Country Inn, Airline Drive, 71111, Airline Drive, Bossier City, LA, United States"
POINT EMPTY,
POINT (-95.8288587 31.5293308),"Gilliam Lake Dam, 75855, United States"
POINT (-0.5898721555327848 47.4815794),"Ancien Stand de tir 1876- 1950, Avenue Notre-Dame-du-Lac, 49045, Avenue Notre-Dame-du-Lac, Angers, Pays de la Loire, France"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-93.82539206064848 32.3427063),"Keithville Elementary/Middle School, 12201, Mansfield Road, 71047, Mansfield Road, Keithville, LA, United States"
POINT (-93.779713 32.5090254),"J.S. Clark Elementary School, 351, North Hearne Avenue, 71103, North Hearne Avenue, Shreveport, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-93.85737393727919 32.5825035),"4331, Linda Lane, 71107, Linda Lane, Shreveport, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.0830562 30.3937005),"St. Timothy on the Northshore - Main Sanctuary, 335, Asbury Drive, 70471, Asbury Drive, Mandeville, LA, United States"
POINT (-92.3885242 32.7910389),"Union Parish High School, 1126, Marion Highway, 71241, Marion Highway, Farmerville, LA, United States"
POINT EMPTY,
POINT (-93.1031911 31.7809777),"Outpatient Medical Centers, 1640, Breazeale Springs Street, 71457, Breazeale Springs Street, Natchitoches, Louisiana, United States"
POINT EMPTY,
POINT (-93.100571 31.775209),"Welch Street, 71458, Natchitoches, Louisiana, United States"
POINT (-92.0808116 30.5384499),"North Main Street, 70570, Opelousas, Louisiana, United States"
POINT EMPTY,
POINT (-92.00189 30.627167),"State Route 103, 70589, Washington, Louisiana, United States"
POINT (-92.1030137 30.4413979),"Mount Pleasant Baptist Church, La 182, 70570, La 182, Opelousas, LA, United States"
POINT (-92.1030137 30.4413979),"Mount Pleasant Baptist Church, La 182, 70570, La 182, Opelousas, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-89.866973 30.779811),"M J Israel Drive, 70427, Bogalusa, Louisiana, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-92.5069456 31.1458414),"Gap Lane, 71485, Woodworth, Louisiana, United States"
POINT (-92.5069456 31.1458414),"Gap Lane, 71485, Woodworth, Louisiana, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-91.8134604 31.6279483),"First Baptist Church, Pond Street, 71343, Pond Street, Jonesville, LA, United States"
POINT (-91.6562354 31.8465511),"Sicily Island, 71368, Louisiana, United States"
POINT EMPTY,
POINT (-89.87037507494128 30.7911161),"Superior Avenue Elementary School, Ontario Avenue, 70427, Ontario Avenue, Bogalusa, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-91.5551275 30.5590844),"Livonia High School, State Route 78, 70755, State Route 78, Livonia, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-91.462931 30.6824435),"Big Boy's Drive-In, Hospital Road, 70760, Hospital Road, New Roads, LA, United States"
POINT (-91.442296 30.697431),"Duhe Lane, 70760, New Roads, Louisiana, United States"
