geometry,address
POINT (-73.1802075 41.1872108),"471, Barnum Avenue, 06608, Barnum Avenue, Bridgeport, CT, United States"
POINT (-73.1802046 41.1880476),"982, East Main Street, 06608, East Main Street, Bridgeport, CT, United States"
POINT (-73.5425778 41.0582018),"1351, Washington Boulevard, 06902, Washington Boulevard, Stamford, CT, United States"
POINT (-73.5379769 41.0448575),"597, Pacific Street, 06902, Pacific Street, Stamford, CT, United States"
POINT (-73.2182843 41.159814),"64, Ocean Avenue, 06605, Ocean Avenue, Bridgeport, CT, United States"
POINT (-73.1649581 41.1779661),"790, Central Avenue, 06607, Central Avenue, Bridgeport, CT, United States"
POINT (-73.1809953 41.1879745),"975, East Main Street, 06608, East Main Street, Bridgeport, CT, United States"
POINT (-73.1670035 41.1998604),"480, Bond Street, 06610, Bond Street, Bridgeport, CT, United States"
POINT (-73.202938 41.1801353),"1438, Park Avenue, 06604, Park Avenue, Bridgeport, CT, United States"
POINT (-73.16941147125502 41.19756865),"Warren G. Harding High School, 379, Bond Street, 06610, Bond Street, Bridgeport, CT, United States"
POINT (-73.20681630795521 41.172389100000004),"Bassick High School, 1181, Fairfield Avenue, 06605, Fairfield Avenue, Bridgeport, CT, United States"
POINT (-73.1764705 41.1888743),"690, Arctic Street, 06608, Arctic Street, Bridgeport, CT, United States"
POINT (-73.2011883 41.1759835),"1124, Iranistan Avenue, 06605, Iranistan Avenue, Bridgeport, CT, United States"
POINT (-73.2050204328568 41.18855455),"Central High School, 1, Lincoln Boulevard, 06606, Lincoln Boulevard, Bridgeport, CT, United States"
POINT (-73.20766585446877 41.170013),"606, Howard Avenue, 06605, Howard Avenue, Bridgeport, CT, United States"
POINT (-73.1752256 41.1887873),"762, Arctic Street, 06608, Arctic Street, Bridgeport, CT, United States"
POINT (-73.2138299 41.2052396),"425, Thorme Street, 06606, Thorme Street, Bridgeport, CT, United States"
POINT (-73.1867391 41.1779095),"Bridgeport, Water Street, 06604, Water Street, Bridgeport, CT, United States"
POINT (-73.205037 41.1759428),"300, Laurel Avenue, 06605, Laurel Avenue, Bridgeport, CT, United States"
POINT (-73.1656984 41.1919563),"399, Mill Hill Avenue, 06610, Mill Hill Avenue, Bridgeport, CT, United States"
