geometry,address
POINT (-117.86737905287774 33.743245900000005),"301, South Main Street, 92701, South Main Street, Santa Ana, CA, United States"
POINT (-117.9981209584591 33.80215485),"10, Orchid Court, 90680, Orchid Court, Stanton, CA, United States"
POINT (-117.86198576575 33.7379877),"809, Oak Street, 92701, Oak Street, Santa Ana, CA, United States"
POINT (-117.86198576575 33.7379877),"809, Oak Street, 92701, Oak Street, Santa Ana, CA, United States"
POINT (-117.9885272 33.705417),"8041, Newman Avenue, 92647, Newman Avenue, Huntington Beach, CA, United States"
POINT (-117.7478955691825 33.6518763),"200 Parking, 250, Spectrum Center Drive, 92618, Spectrum Center Drive, Irvine, CA, United States"
POINT (-117.92616425347308 33.6327384),"1550, Superior Avenue, 92627, Superior Avenue, Costa Mesa, CA, United States"
POINT (-117.9233133 33.6193191),"Newport Heights, 92663, Newport Beach, California, United States"
POINT (-117.9233133 33.6193191),"Newport Heights, 92663, Newport Beach, California, United States"
POINT (-117.92616425347308 33.6327384),"1550, Superior Avenue, 92627, Superior Avenue, Costa Mesa, CA, United States"
POINT (-116.3288545 33.1938923),"Borrego Medical Clinic, 4343, Yaqui Pass Road, 92004, Yaqui Pass Road, Borrego Springs, California, United States"
POINT (-116.3288545 33.1938923),"Borrego Medical Clinic, 4343, Yaqui Pass Road, 92004, Yaqui Pass Road, Borrego Springs, California, United States"
POINT (-116.378268 33.2566792),"Borrego Springs, 92004, California, United States"
POINT EMPTY,
POINT (-116.612697 32.610063),"24875, Potrero Valley Road, 91963, Potrero Valley Road, Potrero, California, United States"
POINT (-116.778947 32.824959),"1620, Huey Lane, 91901, Huey Lane, Alpine, California, United States"
POINT (-116.602648 33.078045),"2721, Washington Street, 92036, Washington Street, Julian, CA, United States"
POINT (-116.47332489748298 32.629738),"Mountain Health And Community Services, 1388, Buckman Springs Road, 91906, Buckman Springs Road, Campo, CA, United States"
POINT (-116.989517525 32.84084195),"120, Town Center Parkway, 92071, Town Center Parkway, Santee, CA, United States"
POINT (-117.24987 33.368917),"1328, South Mission Road, 92028, South Mission Road, Fallbrook, California, United States"
POINT (-117.078796 33.129053),"635, North Hickory Street, 92025, North Hickory Street, Escondido, California, United States"
POINT (-117.068503 33.257685),"30109, Lilac Road, 92082, Lilac Road, Valley Center, California, United States"
POINT (-117.230558 33.317596),"4168, South Mission Road, 92028, South Mission Road, Fallbrook, California, United States"
POINT (-117.04921631853188 32.95698605),"Poway Gold Family Health Center, 13010, Poway Road, 92064, Poway Road, Poway, CA, United States"
POINT (-116.920647 32.861286),"10039, Vine Street, 92040, Vine Street, Lakeside, CA, United States"
POINT (-116.920647 32.861286),"10039, Vine Street, 92040, Vine Street, Lakeside, CA, United States"
POINT (-117.1638732 33.5140333),"Enterprise Circle West, 92590, Temecula, California, United States"
POINT (-117.09152645048314 33.45358495),"Building 200, Deer Hollow Way, 92592, Deer Hollow Way, Temecula, California, United States"
POINT (-117.021421 33.230865),"28477, Lizard Rocks Road, 92082, Lizard Rocks Road, Valley Center, California, United States"
POINT (-117.032796 33.094967),"1643, Summit Lane, 92025, Summit Lane, Escondido, California, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-117.0291299794908 33.226192999999995),"Valley Center, 92082, California, United States"
POINT (-117.021447 33.236019),"28751, Cole Grade Road, 92082, Cole Grade Road, Valley Center, California, United States"
POINT (-117.024659 33.2803),"31322, Cole Grade Road, 92082, Cole Grade Road, Valley Center, California, United States"
POINT EMPTY,
POINT (-117.021573 33.239526),"14249, Fruitvale Road, 92082, Fruitvale Road, Valley Center, California, United States"
POINT (-116.889178 33.029251),"220, Rotanzi Street, 92065, Rotanzi Street, Ramona, California, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-117.2206591 33.1603457),"950, Arroyo Vista Dr, 92081, Arroyo Vista Dr, Vista, CA, United States"
POINT (-117.66292060434583 33.50350365),"Mission San Juan Capistrano, El Camino Real, 92675, El Camino Real, San Juan Capistrano, California, United States"
