geometry,address
POINT (-74.17372681510449 40.7424295),"University Square, University Avenue, 07102, University Avenue, Newark, NJ, United States"
POINT (-74.1600967 40.7269925),"Sushi House 21, Elm Street, 07105, Elm Street, Newark, NJ, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-74.2478721 40.7983396),"37, Oconnor Circle, 07052, Oconnor Circle, West Orange, NJ, United States"
POINT (-74.2952375 40.7682111),"Jewish Community Center School Metro West, Northfield Avenue, 07052, Northfield Avenue, West Orange, NJ, United States"
POINT (-74.5607135 40.8842658),"First Presbyterian Church, West Blackwell Street, 07801, West Blackwell Street, Dover, NJ, United States"
POINT EMPTY,
POINT (-74.5607135 40.8842658),"First Presbyterian Church, West Blackwell Street, 07801, West Blackwell Street, Dover, NJ, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-74.777321 40.2316055),"Benjamin C Gregory Elementary School, 500, Rutherford Avenue, 08618, Rutherford Avenue, Trenton, NJ, United States"
POINT (-74.62406606108648 40.2205476),"1010, Robbinsville Edinburg Road, 08691, Robbinsville Edinburg Road, Robbinsville, NJ, United States"
POINT (-74.75450153170918 40.2378503),"1306, Princeton Avenue, 08638, Princeton Avenue, Trenton, NJ, United States"
POINT (-74.77698717516495 40.229120699999996),"Capital Health Family Health Center, 433, Bellevue Avenue, 08618, Bellevue Avenue, Trenton, NJ, United States"
POINT (-74.74715301179825 40.21955915),"Chambers/Locust Garden, Greenwood Avenue, 08609, Greenwood Avenue, Trenton, NJ, United States"
POINT (-74.7564091437743 40.2247707),"Henry J. Austin Health Center, 112, Ewing Street, 08638, Ewing Street, Trenton, NJ, United States"
POINT (-74.77587826805257 40.22285935),"Communications Workers of America Local 1033, 321, w state st, 08618, w state st, Trenton city, NJ, United States"
POINT EMPTY,
POINT (-74.75581655694864 40.2229649),"10, Southard Street, 08609, Southard Street, Trenton, NJ, United States"
POINT (-74.76136001387033 40.21553685),"314, South Broad Street, 08608, South Broad Street, Trenton, NJ, United States"
POINT (-74.7569952 40.2237422),"Rescue Mission of Trenton, 98, Carroll Street, 08638, Carroll Street, Trenton, NJ, United States"
POINT (-74.41273870533337 40.61152475),"Plainfield High School, 950, Park Avenue, 07060, Park Avenue, Plainfield, NJ, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-74.58743288439376 40.33636455),"1, Mahogany Court, 08536, Mahogany Court, Plainsboro, NJ, United States"
POINT (-74.55113263996944 40.5200796),"Franklin. High School, 500, Elizabeth Avenue, 08873, Elizabeth Avenue, Somerset, NJ, United States"
POINT EMPTY,
POINT (-73.25954687226371 40.8161398),"305, Oser Avenue, 11788, Oser Avenue, Smithtown, NY, United States"
POINT (-73.0152735 40.8623298),"112, Skyline Drive, 11727, Skyline Drive, Brookhaven, NY, United States"
POINT (-73.05735428239046 40.921542),"51, Jefferson Boulevard, 11776, Jefferson Boulevard, Brookhaven, NY, United States"
POINT (-72.64965947785295 40.923797750000006),"883, East Main Street, 11901, East Main Street, Riverhead, NY, United States"
POINT (-73.20277708965651 40.87366215),"75, Landing Meadow Road, 11787, Landing Meadow Road, Smithtown, NY, United States"
POINT (-73.24370857356274 40.816316799999996),"120, Plant Avenue, 11788, Plant Avenue, Smithtown, NY, United States"
POINT (-72.9838123 40.872259),"82, Middle Country Road, 11727, Middle Country Road, Brookhaven, NY, United States"
POINT (-72.36350668759974 41.10140135),"327, Front Street, 11944, Front Street, Southold, NY, United States"
POINT (-73.42277595099452 40.85805895),"55, Horizon Drive, 11743, Horizon Drive, Huntington, NY, United States"
POINT (-72.37789957794381 40.8860098),"330, Meeting House Lane, 11968, Meeting House Lane, Southampton, NY, United States"
POINT (-72.6687928 40.9130193),"300, Center Drive South, 11901, Center Drive South, Southampton, NY, United States"
POINT (-73.19975582835053 40.7753321),"159, Carleton Avenue, 11722, Carleton Avenue, Central Islip, NY, United States"
POINT (-72.78367777370082 40.82539955),"Independent Group Home Living Program, Inc., 221, Sunrise Service Road North, 11949, Sunrise Service Road North, Brookhaven, NY, United States"
POINT (-73.41073711173138 40.6896203),"1080, Sunrise Highway, 11701, Sunrise Highway, Babylon, NY, United States"
